id, property
428 , http://dbpedia.org/ontology/FilmFestival/closingFilm
429 , http://dbpedia.org/ontology/FilmFestival/director
430 , http://dbpedia.org/ontology/FilmFestival/film
431 , http://dbpedia.org/ontology/FilmFestival/language
432 , http://dbpedia.org/ontology/FilmFestival/openingFilm
433 , http://dbpedia.org/ontology/FilmFestival/producer
434 , http://dbpedia.org/ontology/FilmFestival/starring
435 , http://dbpedia.org/ontology/FilmFestival/writer
436 , http://dbpedia.org/ontology/FootballPlayer/coachingTeam
437 , http://dbpedia.org/ontology/FootballPlayer/college
438 , http://dbpedia.org/ontology/FootballPlayer/debutTeam
439 , http://dbpedia.org/ontology/FootballPlayer/debutYear
440 , http://dbpedia.org/ontology/FootballPlayer/draftPick
441 , http://dbpedia.org/ontology/FootballPlayer/draftRound
442 , http://dbpedia.org/ontology/FootballPlayer/draftYear
443 , http://dbpedia.org/ontology/FootballPlayer/espnid
444 , http://dbpedia.org/ontology/FootballPlayer/finalYear
445 , http://dbpedia.org/ontology/FootballPlayer/highschool
446 , http://dbpedia.org/ontology/FootballPlayer/pastTeam
447 , http://dbpedia.org/ontology/FootballPlayer/status
448 , http://dbpedia.org/ontology/FootballPlayer/supplementalDraftRound
449 , http://dbpedia.org/ontology/FootballPlayer/supplementalDraftYear
450 , http://dbpedia.org/ontology/FootballPlayer/team
451 , http://dbpedia.org/ontology/FootballPlayer/undraftedYear
452 , http://dbpedia.org/ontology/FootballTeam/chairman
453 , http://dbpedia.org/ontology/FootballTeam/city
454 , http://dbpedia.org/ontology/FootballTeam/coach
455 , http://dbpedia.org/ontology/FootballTeam/generalManager
456 , http://dbpedia.org/ontology/FootballTeam/owner
457 , http://dbpedia.org/ontology/FootballTeam/president
458 , http://dbpedia.org/ontology/FootballTeam/teamOwner
459 , http://dbpedia.org/ontology/FootballTeam/teamPresident
460 , http://dbpedia.org/ontology/FormulaOneRacer/carNumber
461 , http://dbpedia.org/ontology/FormulaOneRacer/careerPoints
462 , http://dbpedia.org/ontology/FormulaOneRacer/championships
463 , http://dbpedia.org/ontology/FormulaOneRacer/fastestLap
464 , http://dbpedia.org/ontology/FormulaOneRacer/firstRace
465 , http://dbpedia.org/ontology/FormulaOneRacer/firstWin
466 , http://dbpedia.org/ontology/FormulaOneRacer/lastPosition
467 , http://dbpedia.org/ontology/FormulaOneRacer/lastRace
468 , http://dbpedia.org/ontology/FormulaOneRacer/lastSeason
469 , http://dbpedia.org/ontology/FormulaOneRacer/lastWin
470 , http://dbpedia.org/ontology/FormulaOneRacer/podiums
471 , http://dbpedia.org/ontology/FormulaOneRacer/poles
472 , http://dbpedia.org/ontology/FormulaOneRacer/races
473 , http://dbpedia.org/ontology/FormulaOneRacer/wins
474 , http://dbpedia.org/ontology/GaelicGamesPlayer/sport
